Area_m²,Location,Floor,Price_€,Newly_built
54.0,Veruda,3,159900,0
81.49,Centar,0,192000,0
110.49,Stoja,4,343000,0
42.0,Šijana,3,105000,1
40.0,Centar,0,124500,0
83.0,Centar,0,220000,0
49.0,Monvidal,1,113000,1
58.0,Šijana,4,150000,1
53.15,Šijana,5,125000,0
80.0,Šijana,4,218000,0
77.0,Šijana,1,245000,0
59.0,Centar,1,214250,0
63.65,Veruda,1,200000,0
52.0,Centar,1,172908,0
49.5,Centar,4,156000,0
34.0,Veruda,0,151500,0
87.0,Centar,3,260000,0
63.0,Štinjan,0,149000,0
51.0,Centar,0,120000,0
84.49,Veruda,2,7953223,0
102.0,Veli vrh,2,265000,0
74.88,Štinjan,1,209900,1
59.43,Centar,2,208000,1
68.0,Monvidal,2,180000,1
88.93,Vidikovac,0,239000,0
58.11,Štinjan,0,203385,1
93.0,Centar,2,538000,0
38.07,Centar,0,125000,0
59.19,Valdebek,1,154000,1
53.16,Šijana,4,115000,0
69.94,Stoja,2,250000,0
57.0,Kaštanjer,1,120000,0
128.0,Valdebek,0,294000,0
61.87,Centar,1,196930,0
62.0,Stoja,1,123600,0
160.0,Centar,3,199000,0
66.08,Veli vrh,1,176103,1
65.22,Veruda,3,166000,0
70.13,Centar,1,224000,0
42.0,Nova Veruda,1,126000,0
64.0,Centar,1,144000,0
61.89,Centar,1,198400,0
77.0,Centar,3,235000,0
79.9,Centar,2,210000,0
48.0,Centar,0,199000,0
103.27,Šijana,2,228660,1
87.71,Veruda,8,195000,0
43.0,Centar,0,134500,0
69.64,Stoja,2,250000,0
95.0,Monte Zaro,0,237000,0
58.0,Centar,1,185600,0
58.48,Centar,1,140000,0
70.0,Centar,3,155000,0
54.86,Valdebek,0,142700,1
31.11,Veruda,0,152500,0
93.31,Centar,3,260000,0
54.07,Stoja,4,155000,0
129.0,Centar,3,403000,0
53.17,Vidikovac,5,144000,0
63.0,Štinjan,1,189000,0
53.97,Veruda,3,159900,0
159.89,Štinjan,2,399000,1
69.13,Vidikovac,5,168000,0
54.0,Kaštanjer,1,125000,0
70.13,Centar,3,223388,1
46.41,Šijana,1,122570,1
43.0,Centar,2,73000,0
53.37,Vidikovac,7,149500,0
53.48,Nova Veruda,1,300825,0
59.48,Monte Magno,0,166000,0
64.13,Centar,4,139000,1
44.0,Monvidal,1,105600,1
50.0,Monvidal,0,157500,0
87.0,Veruda,8,190000,0
62.0,Centar,1,2223510,1
93.0,Centar,2,279000,0
97.45,Šijana,2,224540,1
69.62,Monte Magno,0,298000,0
109.13,Centar,5,315400,1
66.05,Šijana,2,171600,0
53.16,Šijana,5,117000,0
64.82,Centar,1,136000,0
70.0,Centar,1,223000,0
37.01,Veruda,3,98000,0
95.0,Centar,2,240000,1
38.07,Centar,0,124500,0
92.0,Centar,3,187000,0
62.5,Veruda,1,165000,0
79.0,Monteghiro,1,173000,0
61.0,Veli vrh,0,159000,1
41.0,Nova Veruda,1,150000,1
56.0,Šijana,3,155000,1
42.0,Verudela,1,147000,1
95.8,Valdebek,2,240000,0
56.0,Veruda,3,155000,0
66.0,Štinjan,1,190000,0
107.26,Veli vrh,2,290000,1
80.0,Šijana,4,218000,0
54.0,Veruda,1,192500,0
62.0,Veruda,0,138000,0
60.0,Vidikovac,1,163000,0
45.0,Šijana,0,140000,1
89.28,Centar,3,223200,0
37.95,Veruda,1,110000,0
88.93,Vidikovac,0,239000,0
106.0,Centar,3,295600,0
135.44,Centar,0,290000,0
62.0,Centar,1,150000,0
50.66,Vidikovac,5,145000,0
89.82,Centar,1,247000,0
38.5,Monte Zaro,3,114000,0
55.0,Centar,2,192000,1
100.59,Šijana,2,218360,1
64.13,Kaštanjer,4,139000,0
97.0,Vidikovac,3,258500,0
70.0,Centar,1,205000,0
39.0,Kaštanjer,2,90000,0
57.84,Šijana,1,140080,1
70.0,Centar,2,205175,0
127.96,Veli vrh,2,245000,1
22.0,Centar,4,119000,1
54.0,Šijana,5,120000,0
64.0,Centar,1,166000,0
58.48,Centar,1,135000,0
75.0,Stoja,1,400000,0
51.59,Nova Veruda,1,290193,0
28.0,Centar,5,99600,0
56.0,Šijana,2,135000,1
128.0,Veli vrh,2,239000,0
64.0,Centar,1,203900,0
88.0,Veli vrh,0,228000,0
66.0,Štinjan,1,193000,0
55.0,Centar,1,205000,0
96.0,Centar,4,347600,1
63.58,Veli vrh,1,169440,1
95.0,Monte Magno,2,214000,1
96.0,Centar,1,347600,1
54.0,Centar,2,153748,1
68.6,Monvidal,2,182000,0
55.0,Valdebek,1,143000,0
76.0,Centar,2,280000,1
65.5,Štinjan,2,295000,1
56.0,Stoja,1,182500,1
95.24,Veli vrh,2,209000,0
127.96,Veli vrh,2,239000,0
108.0,Centar,0,460000,0
74.21,Centar,1,229000,0
51.0,Centar,0,135000,0
82.0,Šijana,0,180000,0
80.53,Centar,0,135000,0
57.98,Centar,3,173940,0
55.0,Centar,2,136800,0
63.89,Centar,1,203512,1
87.71,Veruda,8,190000,0
54.0,Šijana,5,117500,0
70.46,Centar,3,160000,0
120.0,Monte Zaro,1,247500,0
106.3,Valdebek,2,260000,1
53.65,Vidikovac,6,150000,0
54.67,Veruda,1,192000,1
42.0,Centar,0,130200,0
54.29,Centar,0,268000,1
34.0,Veruda,1,152500,0
45.62,Šijana,2,122570,1
63.28,Štinjan,1,189000,0
55.0,Centar,4,189900,1
75.0,Valdebek,1,210000,1
54.75,Valdebek,1,145908,1
73.28,Veruda,3,219000,0
61.89,Centar,3,198400,0
113.0,Centar,0,199000,0
56.0,Šijana,1,185000,1
56.0,Verudela,2,185000,1
48.5,Šijana,0,140000,1
56.0,Centar,1,198000,1
73.0,Centar,2,456250,0
54.98,Valdebek,1,142700,1
166.02,Centar,4,415000,0
95.0,Veli vrh,1,248000,1
93.0,Nova Veruda,1,225000,0
53.65,Vidikovac,6,150000,0
63.89,Centar,1,222180,1
82.01,Centar,2,320000,0
54.29,Veruda,1,206302,1
103.28,Šijana,2,224300,1
66.0,Šijana,2,145000,0
106.21,Valdebek,2,249000,1
53.65,Vidikovac,6,150000,0
85.0,Veli vrh,0,185000,0
100.0,Veli vrh,2,285000,1
49.45,Veruda,4,130000,0
87.34,Valdebek,0,227000,1
113.0,Centar,2,375000,0
130.0,Monte Zaro,2,217000,0
36.0,Stoja,2,82500,0
86.0,Kaštanjer,1,235000,0
121.0,Centar,1,420000,0
106.28,Centar,1,307422,0
67.0,Centar,3,145000,0
58.0,Veruda,2,135000,0
56.0,Veruda,3,221000,1
65.22,Veruda,3,176000,0
57.84,Šijana,1,139400,1
125.0,Štinjan,2,250000,1
51.0,Centar,3,177500,1
52.89,Valdebek,1,143000,1
75.02,Monte Zaro,2,239000,0
95.16,Valdebek,2,230000,0
54.07,Stoja,4,158000,0
76.25,Stoja,3,238600,0
89.28,Centar,1,261900,1
60.0,Veruda,1,185000,0
58.0,Veli vrh,0,157500,1
55.0,Centar,0,168000,1
42.0,Nova Veruda,1,126000,1
68.6,Monvidal,2,175000,0
61.0,Monvidal,2,146000,1
54.19,Monvidal,1,135475,1
49.7,Veruda,1,188860,0
66.0,Veruda,3,165000,0
115.51,Valdebek,2,298300,0
53.04,Veli vrh,1,141351,1
55.0,Veli vrh,0,144000,1
45.0,Kaštanjer,2,105000,1
109.13,Centar,4,271575,1
56.0,Šijana,2,145000,1
54.75,Valdebek,1,145908,1
63.89,Centar,1,204800,0
28.0,Centar,4,97000,0
70.92,Valdebek,2,184000,1
117.0,Sv. Polikarp / Sisplac,3,365000,0
38.07,Centar,0,125000,0
55.0,Valdebek,1,200000,0
70.86,Valdebek,0,219000,0
132.0,Veruda,0,185000,0
66.14,Stoja,1,206000,0
54.0,Centar,2,153692,1
129.0,Valdebek,2,220000,0
120.0,Centar,1,320000,0
48.78,Stoja,1,156096,1
104.47,Veruda,2,480000,1
60.0,Monvidal,3,131000,1
61.0,Centar,3,197540,0
70.92,Valdebek,1,184000,1
57.0,Šijana,0,135000,0
53.0,Gregovica,1,135000,1
60.0,Šijana,1,150000,0
71.0,Centar,1,257900,1
72.44,Valdebek,0,185627,1
43.96,Valdebek,0,119000,0
57.0,Centar,1,250000,0
55.0,Gregovica,1,171187,1
83.0,Centar,3,307000,0
52.0,Centar,0,145000,0
108.0,Veli vrh,3,228500,1
77.0,Kaštanjer,1,194000,0
50.0,Centar,2,135000,0
75.0,Centar,1,156000,0
50.66,Vidikovac,5,145500,0
94.0,Valmade,2,255000,0
117.0,Sv. Polikarp / Sisplac,3,365000,0
59.0,Centar,0,130000,0
32.3,Monvidal,5,110000,0
47.15,Šijana,1,122500,1
47.0,Centar,1,121500,0
72.11,Busoler,1,200000,0
89.61,Veruda,5,200000,0
69.0,Vidikovac,5,168000,0
76.86,Monte Zaro,1,269010,0
41.1,Centar,1,127000,1
138.8,Centar,4,366300,1
103.0,Centar,2,222000,0
85.0,Nova Veruda,1,297000,0
95.24,Veli vrh,2,215000,0
122.72,Šijana,3,296000,0
53.65,Vidikovac,6,147500,0
109.13,Centar,4,272500,0
102.0,Veli vrh,1,265000,0
80.0,Veruda,1,150000,0
51.0,Centar,4,182900,1
108.0,Veli vrh,3,228500,0
72.0,Veruda,5,159000,0
76.0,Monte Magno,1,285000,0
54.0,Veruda,3,159900,0
30.0,Centar,0,100000,0
51.0,Centar,1,283850,0
62.5,Monvidal,1,173000,1
124.95,Monte Zaro,3,130000,0
89.28,Centar,3,222500,0
136.0,Centar,0,290000,0
57.79,Monte Zaro,1,207500,0
95.16,Valdebek,2,209350,1
53.0,Centar,2,148512,1
54.0,Veruda,3,166000,0
105.0,Centar,0,187000,0
56.0,Nova Veruda,3,200000,1
56.5,Veruda,3,159700,0
54.87,Šijana,2,134000,0
53.37,Vidikovac,7,146800,0
38.1,Gregovica,1,127900,0
56.5,Šijana,1,179500,1
96.34,Vidikovac,4,259900,0
76.6,Centar,2,215000,0
64.0,Centar,0,145000,0
69.0,Veruda,1,241500,1
47.4,Šijana,2,126700,1
47.4,Šijana,2,126100,1
51.47,Veruda,1,160000,0
78.0,Kaštanjer,4,145000,0
86.0,Centar,2,320000,0
140.0,Centar,0,275000,0
60.0,Vidikovac,1,171000,0
41.0,Monvidal,3,105000,1
54.91,Veli vrh,1,146335,1
53.5,Vidikovac,5,144000,0
77.0,Šijana,1,245000,0
34.3,Centar,1,120000,0
45.0,Monvidal,4,126000,0
166.0,Centar,4,413099,1
28.0,Vidikovac,5,99600,0
63.13,Kaštanjer,1,145500,0
96.34,Vidikovac,3,258000,1
146.0,Kaštanjer,0,350000,0
77.29,Šijana,1,245000,1
56.0,Šijana,0,135000,0
65.0,Centar,4,389000,1
59.0,Centar,2,214250,1
76.0,Centar,1,277100,1
57.0,Centar,1,138700,0
50.66,Vidikovac,5,145000,0
48.0,Centar,0,130000,0
106.28,Centar,2,264483,0
53.43,Stoja,2,185900,0
53.04,Veli vrh,1,141351,1
76.0,Centar,0,177500,0
54.87,Šijana,2,137400,1
83.0,Centar,2,270000,0
48.53,Šijana,1,126700,0
125.0,Veruda,2,450000,0
108.0,Veli vrh,3,226500,0
114.28,Centar,3,239000,0
58.0,Centar,1,179200,1
85.27,Kaštanjer,2,143000,0
50.16,Monvidal,0,158000,0
91.67,Vidikovac,0,294000,1
62.0,Centar,0,135000,0
66.08,Veli vrh,2,176103,1
54.41,Sv. Polikarp / Sisplac,1,206760,0
106.28,Centar,3,264483,1
134.0,Gregovica,1,270000,0
70.0,Centar,3,223100,0
43.18,Centar,0,135000,0
82.0,Centar,2,320000,0
95.0,Valkane,2,295000,0
98.0,Centar,3,269900,0
54.89,Veli vrh,2,146281,1
42.5,Veruda,3,148000,1
75.91,Štinjan,0,212500,1
55.0,Valdebek,1,137500,1
89.28,Centar,1,222177,1
57.1,Šijana,2,142750,1
122.0,Centar,4,259000,0
82.01,Centar,2,320000,0
128.0,Centar,2,239000,1
66.0,Veruda,3,160000,0
54.55,Šijana,1,136000,1
104.8,Gregovica,2,310000,0
41.0,Centar,0,128000,0
54.0,Centar,1,153692,1
95.3,Vidikovac,0,239000,0
96.0,Vidikovac,3,258500,0
68.77,Centar,3,220800,0
57.0,Šijana,1,185000,1
108.0,Veli vrh,3,229000,0
28.07,Centar,5,99000,0
61.58,Šijana,3,160000,0
68.77,Centar,1,215870,1
55.0,Gregovica,1,171500,1
53.0,Šijana,5,130000,0
54.0,Veruda,4,166000,0
45.0,Centar,2,121500,0
55.0,Šijana,4,132000,1
62.0,Veruda,1,165000,0
83.46,Centar,3,280000,0
123.0,Centar,3,295000,0
63.28,Štinjan,1,195000,0
64.0,Kaštanjer,4,125000,0
67.0,Stoja,1,204000,0
53.17,Vidikovac,5,146000,0
66.14,Stoja,1,202000,0
52.89,Valdebek,1,143000,1
54.47,Veruda,1,206986,0
122.0,Centar,1,255000,0
53.37,Vidikovac,7,150000,0
54.0,Veruda,3,159900,0
28.07,Centar,5,97000,0
57.0,Šijana,0,135000,0
66.14,Stoja,1,202400,0
63.58,Veli vrh,2,169440,1
63.0,Centar,1,178024,1
51.0,Centar,3,286900,1
58.0,Veruda,3,135000,0
95.0,Centar,2,209000,0
46.0,Stoja,1,149500,1
55.0,Gregovica,0,206000,1
95.8,Valdebek,2,210760,1
49.59,Centar,2,148770,1
67.9,Centar,4,145000,0
48.57,Stoja,3,130000,0
80.0,Šijana,4,218000,0
89.0,Centar,1,248920,0
60.0,Vidikovac,1,169000,0
61.0,Veli vrh,2,159000,0
68.6,Monvidal,2,175000,0
85.0,Veli vrh,1,185000,0
70.0,Vidikovac,5,165000,0
57.09,Centar,4,161000,0
34.0,Veruda,0,148000,0
44.0,Kaštanjer,0,110000,1
85.0,Kaštanjer,2,136000,0
49.33,Centar,0,110000,0
56.27,Centar,1,168810,1
61.0,Veli vrh,1,159000,1
57.98,Centar,1,173940,1
62.0,Veruda,0,135000,0
88.0,Veruda,8,196000,0
122.72,Centar,3,296000,0
61.0,Veli vrh,1,159000,1
71.0,Centar,2,257900,1
55.0,Gregovica,2,180500,1
69.0,Centar,2,241500,1
166.0,Centar,3,250000,0
44.84,Kaštanjer,0,159000,0
93.0,Centar,2,210000,0
110.49,Stoja,4,341000,0
62.1,Valdebek,2,170000,1
120.0,Kaštanjer,2,310000,1
57.0,Šijana,1,190000,0
89.28,Centar,2,222500,0
98.62,Veli vrh,1,296900,1
48.0,Centar,2,135000,0
62.0,Centar,1,165000,0
185.0,Centar,3,404000,0
103.06,Šijana,2,228660,1
52.5,Centar,1,162000,0
120.3,Valdebek,2,301000,1
49.25,Centar,1,147750,1
127.96,Veli vrh,2,239000,0
56.27,Centar,3,168810,1
90.0,Centar,2,292000,0
110.75,Centar,2,290000,0
55.0,Centar,2,180000,1
66.0,Centar,1,180000,0
75.49,Šijana,0,207000,0
102.0,Veli vrh,0,265000,1
51.96,Vidikovac,1,140000,0
95.8,Valdebek,2,240000,0
43.0,Monvidal,2,107500,0
61.88,Centar,1,166000,0
69.13,Vidikovac,5,168000,0
61.89,Centar,3,197141,1
180.79,Centar,3,395000,0
53.0,Centar,1,148512,1
115.0,Veruda,1,329000,0
59.7,Centar,1,209000,1
59.43,Centar,1,208005,0
84.0,Centar,4,156000,0
41.48,Valdebek,0,165000,0
110.0,Centar,2,363000,1
58.48,Centar,1,135000,0
52.5,Centar,1,156000,0
107.76,Štinjan,2,335500,1
83.0,Centar,2,278000,0
95.3,Vidikovac,0,237000,0
100.38,Veruda,3,381444,0
89.88,Vidikovac,0,264000,1
58.0,Centar,0,110000,0
115.0,Valmade,1,265000,0
130.0,Centar,1,469770,1
49.59,Centar,3,148770,1
86.0,Centar,4,177000,0
74.61,Centar,1,175000,0
69.0,Monvidal,2,170000,1
65.0,Vidikovac,2,159000,0
54.0,Veruda,3,159900,0
60.0,Centar,0,140000,0
115.2,Valdebek,2,295200,1
20.0,Monte Zaro,6,120000,0
59.24,Stoja,3,220000,0
75.0,Centar,3,172500,0
97.0,Centar,2,218000,0
107.0,Veli vrh,2,290000,0
67.0,Centar,3,155000,0
74.61,Centar,1,185000,0
70.13,Centar,3,224000,0
93.0,Centar,2,279000,0
57.1,Centar,4,160000,0
98.0,Monte Zaro,2,240000,0
63.28,Štinjan,1,197000,0
70.13,Centar,1,223402,1
65.36,Stoja,1,209152,0
51.61,Veruda,0,290306,0
79.8,Šijana,2,150000,0
53.0,Centar,2,148512,1
54.19,Monvidal,1,135475,0
56.1,Vidikovac,0,135000,0
50.16,Sv. Polikarp / Sisplac,0,190608,1
60.0,Veli vrh,0,157000,1
28.0,Monte Zaro,5,96750,0
105.03,Centar,3,397000,0
69.13,Vidikovac,5,168000,0
66.06,Valmade,0,170000,0
61.0,Veli vrh,2,159000,1
61.0,Veli vrh,0,159000,1
81.49,Šijana,0,190000,0
49.5,Centar,4,156000,0
37.0,Veruda,3,98500,0
102.0,Veli vrh,1,265000,0
88.0,Šijana,1,265000,0
55.0,Gregovica,0,180500,0
48.53,Šijana,1,123000,0
70.13,Centar,1,252960,1
55.0,Šijana,0,145000,0
54.0,Centar,1,153748,1
55.0,Stoja,1,192000,0
124.95,Monte Zaro,2,120000,0
52.0,Vidikovac,1,145000,0
93.0,Centar,3,245814,1
57.36,Štinjan,2,200760,0
129.0,Centar,3,403000,0
37.01,Veruda,3,98500,0
130.0,Centar,4,469770,1
140.0,Centar,4,799000,0
72.0,Stoja,4,169000,0
47.86,Sv. Polikarp / Sisplac,0,192500,0
28.0,Centar,5,97500,0
106.28,Centar,2,311000,1
57.0,Centar,4,160000,0
46.0,Monvidal,3,117000,1
62.0,Valdebek,0,162000,1
40.0,Centar,3,124000,0
138.8,Centar,4,345410,1
100.28,Valdebek,2,260000,0
68.48,Centar,3,155800,0
28.0,Centar,5,98000,0
65.45,Vidikovac,2,159000,0
53.16,Šijana,5,105000,0
62.0,Centar,1,216900,1
40.0,Centar,3,122500,0
76.0,Monte Magno,1,280000,0
56.5,Šijana,1,170000,1
71.0,Stoja,1,258000,0
145.0,Veruda,0,250000,0
58.0,Nova Veruda,3,203000,1
64.04,Centar,1,166500,1
41.0,Nova Veruda,2,150000,0
62.0,Monvidal,2,179000,1
39.0,Šijana,0,95000,0
53.0,Centar,1,148512,1
58.39,Centar,3,145200,0
66.0,Štinjan,1,196000,1
85.5,Centar,1,275000,1
120.0,Stoja,2,200000,0
46.0,Centar,1,121500,0
57.0,Šijana,1,192000,1
57.96,Centar,2,173880,1
55.0,Centar,5,140000,0
48.0,Kaštanjer,2,115000,1
117.5,Veruda,2,463000,1
59.0,Centar,4,214250,1
38.07,Centar,0,124500,0
51.12,Centar,0,145000,0
66.0,Gregovica,0,198000,1
49.0,Stoja,1,158000,0
88.0,Veli vrh,0,228000,1
102.0,Kaštanjer,1,330000,0
111.19,Centar,2,160000,0
52.5,Centar,1,156000,0
57.79,Monte Zaro,1,206000,0
68.48,Centar,3,156000,0
60.0,Centar,1,310000,0
80.0,Centar,3,230000,1
28.07,Centar,5,99000,0
62.0,Centar,0,145000,1
58.11,Sv. Polikarp / Sisplac,0,220818,1
52.89,Valdebek,2,143000,1
96.34,Vidikovac,3,259000,0
66.0,Centar,5,188000,0
75.0,Stoja,1,400000,1
141.93,Centar,2,250000,0
59.39,Vidikovac,1,172000,0
166.0,Centar,2,250000,0
115.0,Valmade,1,265000,0
53.0,Veli vrh,0,138000,1
48.57,Stoja,3,135000,0
52.0,Nova Veruda,5,234000,1
55.0,Stoja,1,192000,1
84.0,Šijana,0,135000,0
28.0,Centar,5,97500,0
28.07,Centar,5,98000,0
28.07,Centar,5,98000,0
58.0,Centar,1,212550,1
54.0,Veruda,3,159900,0
59.24,Valdebek,0,154000,1
58.96,Centar,2,206300,1
58.0,Gregovica,1,174000,1
98.62,Veli vrh,2,296900,1
97.23,Centar,2,280500,0
37.86,Kaštanjer,6,95000,0
122.72,Centar,3,295000,0
34.0,Centar,0,147000,0
31.11,Veruda,0,153000,0
32.0,Monvidal,5,105000,0
111.56,Gregovica,1,281000,0
117.0,Centar,3,364000,0
31.11,Veruda,0,149000,0
63.0,Centar,2,177548,1
32.0,Veruda,0,150000,0
118.0,Centar,2,260000,1
54.0,Stoja,4,155000,0
51.12,Kaštanjer,0,146000,0
102.0,Veli vrh,0,265000,1
90.0,Valdebek,0,399000,1
113.6,Centar,2,315900,1
53.04,Veli vrh,2,141351,1
122.0,Centar,2,259900,1
41.0,Veli vrh,1,127000,0
