Area_m²,Location,Floor,Price_€,Newly_built
115.0,Centar,3,250000,0
75.0,Busoler,0,240000,0
107.76,Štinjan,2,330000,1
34.0,Centar,1,120000,0
63.0,Veruda,0,99500,0
74.0,Centar,2,215000,0
147.0,Kaštanjer,0,350000,0
55.0,Veruda,1,209000,0
42.0,Valdebek,0,160000,0
48.0,Štinjan,2,137500,0
118.98,Šijana,1,355000,0
67.39,Veli vrh,3,180000,0
57.96,Centar,3,173880,1
70.0,Monvidal,0,175000,1
57.09,Centar,4,155000,0
125.0,Centar,3,130000,0
55.0,Veli vrh,1,144000,0
66.05,Šijana,1,186500,1
50.16,Monvidal,0,159000,1
70.73,Veli vrh,1,166000,0
138.0,Vidikovac,0,180000,0
49.0,Stoja,1,158000,1
61.0,Veli vrh,2,159000,1
105.0,Centar,3,367500,1
81.49,Šijana,0,190000,0
53.0,Centar,2,148512,1
53.0,Veli vrh,0,138000,0
43.18,Centar,0,140500,0
115.0,Centar,1,220000,0
75.0,Centar,0,175000,0
54.88,Valdebek,1,142700,1
28.0,Centar,5,97000,0
65.0,Šijana,8,120000,0
43.0,Kaštanjer,2,105000,0
67.0,Gregovica,0,209000,1
56.27,Centar,2,168810,1
40.0,Centar,3,124000,0
46.8,Centar,2,122000,0
70.13,Centar,1,249500,1
85.0,Centar,4,156000,0
59.64,Stoja,2,190848,1
137.0,Veruda,1,165000,0
48.0,Centar,1,125500,0
53.04,Veli vrh,2,141351,1
47.0,Centar,1,125500,1
106.28,Centar,1,265000,0
95.0,Štinjan,1,257500,0
54.89,Veli vrh,1,146281,1
96.99,Centar,4,241364,1
136.0,Centar,1,290000,0
84.0,Centar,4,156000,0
55.0,Gregovica,0,171187,1
70.13,Centar,2,224000,0
55.0,Nova Veruda,5,247000,0
55.0,Gregovica,0,171187,1
116.0,Valdebek,2,290000,1
53.78,Sv. Polikarp / Sisplac,1,204400,0
87.71,Veruda,8,190000,0
45.0,Centar,3,130000,0
106.0,Centar,2,296400,1
90.0,Centar,0,230000,0
108.55,Vidikovac,1,354000,1
50.0,Centar,0,299500,0
30.0,Centar,0,96000,1
91.0,Veruda,4,311500,0
70.0,Veruda,1,185000,1
61.88,Veruda,0,135000,0
59.0,Vidikovac,2,150000,0
43.18,Centar,0,145000,0
85.27,Centar,2,143000,0
83.06,Kaštanjer,2,260000,0
55.0,Gregovica,1,180500,0
46.0,Centar,2,123000,1
70.0,Monvidal,2,175000,0
120.0,Centar,2,239000,0
130.0,Centar,3,469800,1
54.87,Šijana,2,138000,1
43.0,Kaštanjer,0,110000,0
95.24,Veli vrh,2,214300,0
76.0,Centar,1,175000,0
43.0,Centar,0,140000,0
50.0,Monvidal,1,130000,0
61.0,Veli vrh,1,159000,1
64.0,Štinjan,0,145000,0
110.49,Stoja,3,343000,0
66.0,Štinjan,1,193000,0
95.3,Monte Zaro,0,230000,0
84.5,Nova Veruda,1,194000,0
48.5,Šijana,0,140000,1
54.91,Veli vrh,2,146335,1
31.0,Veruda,0,149000,1
57.0,Centar,4,160000,0
100.0,Centar,2,212000,0
111.36,Šijana,2,310000,1
43.18,Centar,0,135000,0
106.0,Centar,1,296310,0
66.0,Centar,0,199000,1
54.35,Šijana,1,135875,1
103.0,Centar,2,222000,0
84.0,Valdebek,2,230000,0
60.0,Veli vrh,0,186900,1
45.62,Šijana,2,122000,1
122.7,Centar,3,285000,0
64.0,Centar,1,86000,0
166.02,Centar,5,468700,1
57.1,Centar,4,155000,0
115.0,Centar,3,250000,0
50.73,Centar,2,177600,1
64.0,Veruda,0,180000,1
52.0,Centar,1,172908,0
52.14,Centar,0,135000,0
71.54,Centar,1,250400,1
109.0,Šijana,1,172000,0
40.0,Centar,0,124500,0
76.0,Monte Magno,1,280000,0
102.0,Veli vrh,0,265000,0
70.92,Valdebek,1,184000,1
57.4,Šijana,1,185000,1
63.28,Štinjan,1,194000,0
56.0,Monvidal,1,168000,1
69.13,Vidikovac,5,175000,0
99.39,Šijana,2,220000,0
115.0,Štinjan,2,355000,1
86.0,Centar,1,264856,1
32.0,Veruda,0,149000,0
87.71,Veruda,8,197200,0
66.0,Centar,2,185024,1
112.0,Štinjan,2,250000,0
55.0,Veruda,1,192500,1
107.26,Veli vrh,2,290500,1
114.28,Centar,3,239000,0
51.54,Valdebek,1,179000,1
43.0,Centar,0,135000,0
69.62,Monte Magno,0,298000,0
51.0,Centar,0,125000,0
125.0,Centar,2,215000,0
61.88,Centar,1,166000,0
94.0,Centar,1,284000,0
132.0,Monte Zaro,2,217000,0
89.88,Vidikovac,0,267000,1
53.0,Veruda,0,208000,0
55.0,Valmade,2,137500,0
102.0,Veli vrh,1,265000,0
54.0,Šijana,5,130000,0
56.5,Šijana,1,165000,1
69.13,Centar,5,168000,0
60.0,Veli vrh,2,157000,1
54.0,Monvidal,3,145000,0
84.54,Centar,1,211350,1
102.0,Veli vrh,1,265000,1
56.5,Šijana,1,141000,1
117.0,Centar,1,159500,0
75.02,Centar,2,239000,0
66.0,Štinjan,1,189000,1
88.0,Monteghiro,2,270000,0
53.16,Šijana,5,125000,0
51.27,Monvidal,1,128000,1
51.27,Centar,1,128000,1
64.0,Centar,1,86000,0
101.0,Centar,2,253000,1
77.0,Centar,4,307000,0
54.47,Sv. Polikarp / Sisplac,2,207000,1
59.0,Veruda,3,155000,0
71.0,Šijana,3,187500,0
60.69,Stoja,2,190000,0
61.0,Centar,2,197550,0
93.15,Šijana,2,216300,1
111.99,Valdebek,2,350000,0
62.18,Šijana,0,150000,0
54.0,Centar,1,134600,0
53.16,Šijana,4,105000,0
53.37,Vidikovac,7,149500,0
57.98,Centar,2,173940,1
89.28,Centar,1,222500,0
42.0,Centar,1,135000,1
196.0,Centar,3,358000,0
50.0,Centar,2,72750,0
44.0,Monvidal,2,103000,0
66.14,Centar,0,159000,0
98.0,Centar,2,240000,0
58.0,Gregovica,1,179900,1
61.0,Nova Veruda,0,220000,1
42.0,Monvidal,1,99000,1
70.0,Stoja,1,250000,0
103.0,Centar,2,222000,0
40.0,Centar,0,125000,0
49.0,Monvidal,2,136000,1
70.5,Centar,2,223000,0
117.22,Stoja,3,365000,0
59.43,Centar,3,208005,0
69.58,Veli vrh,1,173900,1
134.0,Šijana,0,165000,0
199.0,Centar,3,359000,0
42.49,Vidikovac,0,143000,0
59.7,Centar,3,208950,0
129.37,Centar,3,400000,0
67.0,Centar,1,190000,0
66.0,Centar,3,181000,0
65.0,Centar,1,159000,0
122.0,Centar,1,250000,1
54.18,Veruda,0,196800,1
130.0,Centar,2,247000,0
59.0,Centar,0,130000,0
86.02,Centar,1,286000,1
107.4,Centar,2,220000,1
28.0,Monte Zaro,5,103750,1
66.0,Centar,3,175000,0
61.0,Šijana,1,140300,0
115.0,Štinjan,2,231750,0
168.0,Šijana,1,275000,0
47.53,Veruda,1,198000,0
51.0,Veruda,3,135000,0
48.0,Centar,1,144000,1
72.0,Centar,3,220000,1
45.0,Štinjan,1,115875,0
119.2,Centar,2,250000,1
124.0,Centar,0,145000,0
62.28,Veli vrh,1,161500,1
89.28,Centar,3,223000,1
76.86,Centar,3,269010,1
63.58,Veli vrh,1,165000,1
47.53,Veruda,1,197000,0
131.0,Centar,2,260000,0
45.08,Štinjan,1,117000,0
63.89,Centar,2,178900,0
101.18,Pragrande,2,252950,1
76.86,Centar,3,269000,1
51.3,Valdebek,1,141000,1
122.0,Centar,1,275000,0
108.6,Centar,2,371819,1
155.0,Centar,0,540000,0
54.0,Kaštanjer,1,137500,1
59.7,Centar,3,208950,1
75.0,Monte Magno,1,178000,1
56.0,Kaštanjer,1,120000,0
54.89,Veli vrh,2,142500,1
69.62,Monte Magno,0,298000,0
54.74,Valdebek,1,142000,1
130.21,Centar,4,457000,1
64.82,Centar,1,143000,0
96.99,Centar,4,242500,1
60.25,Veli vrh,2,156000,1
50.14,Valdebek,1,130000,1
72.12,Centar,1,160000,0
70.0,Valdebek,2,179900,0
93.15,Šijana,2,214762,1
55.0,Veruda,1,166900,0
82.58,Centar,0,220000,0
116.0,Centar,1,310000,0
103.27,Šijana,2,227550,1
54.57,Pragrande,1,141880,1
49.5,Sv. Polikarp / Sisplac,4,150000,0
69.12,Veruda,1,265000,1
54.77,Gregovica,2,175000,0
113.0,Centar,1,200000,0
120.0,Centar,1,208000,0
26.0,Šijana,5,77500,0
107.99,Valdebek,2,280000,1
144.0,Stoja,3,385000,0
53.16,Šijana,2,140000,0
51.2,Valdebek,0,132800,1
47.97,Monte Zaro,3,129000,0
80.0,Centar,3,220000,0
57.0,Veli vrh,1,141000,1
62.0,Centar,2,170000,0
75.82,Nova Veruda,2,426488,0
77.29,Šijana,1,245000,0
112.0,Valdebek,2,350000,0
45.62,Šijana,2,122000,0
97.43,Monte Zaro,0,243600,1
96.42,Centar,4,337440,0
55.35,Vidikovac,4,182655,1
74.21,Centar,1,220000,0
51.2,Valdebek,0,133000,1
62.0,Kaštanjer,0,167400,1
61.0,Centar,1,173292,1
56.71,Kaštanjer,1,120000,0
75.0,Centar,1,200000,0
66.0,Gregovica,0,184800,1
94.33,Centar,3,175000,0
50.0,Centar,1,283800,0
90.0,Centar,2,180000,0
62.25,Centar,2,174300,0
38.0,Veruda,1,115000,1
75.0,Centar,1,363500,1
48.53,Šijana,1,121500,0
70.13,Centar,3,210390,0
73.9,Nova Veruda,3,415687,0
62.0,Valdebek,2,170000,0
70.13,Centar,1,224416,1
108.11,Centar,4,270000,1
71.54,Centar,4,250390,1
102.65,Pragrande,1,256625,1
180.79,Centar,3,375000,0
62.0,Stoja,1,125000,0
70.58,Centar,2,220000,0
45.0,Centar,1,170000,0
59.7,Centar,4,208950,0
38.0,Kaštanjer,1,125000,0
109.55,Centar,4,274000,1
108.0,Veli vrh,3,255000,0
50.53,Centar,0,110000,0
62.48,Centar,3,133000,0
86.02,Centar,1,256500,1
59.43,Centar,1,208005,0
142.0,Centar,2,250000,0
69.0,Valdebek,0,298000,0
79.0,Veruda,3,149000,0
79.93,Centar,3,187000,0
103.49,Veruda,1,225000,0
53.0,Valdebek,1,138000,1
138.0,Veruda,1,165000,0
38.0,Kaštanjer,1,120000,0
90.89,Veruda,4,280000,0
127.92,Centar,4,320000,1
79.0,Centar,0,175000,0
45.0,Centar,3,170000,0
94.5,Sv. Polikarp / Sisplac,2,300000,0
174.45,Centar,0,250000,0
59.7,Centar,1,215000,0
117.21,Veli vrh,2,235000,1
96.42,Centar,1,337500,1
115.0,Centar,3,350000,0
110.0,Vidikovac,1,311000,0
59.0,Centar,1,188800,0
62.48,Centar,3,140000,0
50.53,Centar,0,114000,0
71.0,Monte Zaro,2,220000,0
69.2,Stoja,2,250000,0
109.0,Centar,2,370000,1
101.0,Veruda,0,296000,0
60.0,Vidikovac,1,165000,0
62.18,Šijana,0,148350,1
46.27,Šijana,1,119300,1
135.44,Centar,1,280000,0
70.06,Nova Veruda,3,195000,0
59.43,Centar,4,208000,1
73.5,Veli vrh,1,159000,0
123.05,Centar,2,283000,0
130.31,Centar,4,456085,0
166.02,Centar,4,415000,1
88.57,Centar,3,300000,0
76.86,Centar,3,277000,0
59.43,Centar,3,214000,0
64.0,Centar,1,140000,0
46.98,Centar,0,113000,1
48.0,Centar,2,135000,0
166.6,Centar,2,250000,0
59.7,Centar,1,208950,0
81.0,Centar,2,170000,0
50.89,Centar,0,158500,1
54.87,Šijana,2,137500,0
120.0,Centar,2,238000,1
85.0,Centar,2,145000,0
96.42,Centar,4,337470,1
91.0,Monte Magno,2,180000,0
100.0,Veruda,1,180000,0
102.0,Centar,2,250000,1
50.0,Štinjan,2,135000,0
70.69,Centar,1,158000,0
55.0,Centar,0,168000,1
54.67,Veruda,1,214000,1
104.47,Veruda,2,450000,1
130.31,Centar,3,456000,1
96.59,Veruda,0,228000,0
58.4,Centar,0,163500,1
54.41,Valdebek,1,142500,1
67.36,Monte Magno,0,198200,0
81.49,Šijana,0,187000,0
120.0,Šijana,1,260000,0
104.78,Centar,4,262000,1
110.0,Centar,1,375000,0
151.53,Centar,3,505000,1
70.21,Centar,2,176000,1
58.0,Valsaline,1,299000,0
188.9,Monte Magno,0,298000,0
62.1,Veli vrh,2,161000,1
58.96,Centar,3,206500,1
54.86,Valdebek,0,142000,1
91.0,Veruda,4,278000,0
45.0,Centar,2,176400,0
77.0,Šijana,1,194000,1
126.0,Kaštanjer,2,310000,0
130.31,Centar,1,456085,0
54.0,Centar,1,142948,1
60.25,Veli vrh,1,156000,1
96.42,Centar,1,337440,0
103.0,Valdebek,2,267800,1
83.74,Centar,1,350000,0
57.0,Centar,1,205000,0
120.0,Veli vrh,2,363000,0
50.73,Centar,3,177555,0
61.89,Centar,1,173300,0
107.61,Centar,2,270000,1
80.0,Centar,2,200500,0
117.21,Veli vrh,2,235000,1
62.0,Veruda,0,135000,0
82.0,Centar,1,299500,0
73.76,Stoja,1,192000,0
75.82,Nova Veruda,0,426487,0
127.96,Veli vrh,2,245000,0
58.0,Nova Veruda,4,203000,1
58.36,Veli vrh,2,151700,1
99.39,Šijana,2,231000,1
91.0,Veruda,4,279000,0
130.31,Centar,3,457000,1
73.0,Monvidal,1,175000,0
108.36,Centar,1,430000,1
103.49,Nova Veruda,1,225000,0
112.1,Valdebek,2,291000,1
50.0,Centar,3,200000,0
61.89,Centar,3,198000,1
80.0,Centar,0,128000,0
91.0,Veruda,4,280500,0
112.93,Centar,2,266500,0
79.15,Centar,0,197900,1
25.0,Veruda,6,78500,0
58.0,Centar,1,123000,0
86.02,Centar,1,280000,1
220.0,Monte Zaro,2,350000,0
69.0,Monte Magno,0,298000,0
70.86,Valdebek,0,217000,0
117.0,Veruda,3,365000,0
77.58,Centar,0,180000,0
59.7,Centar,3,208950,1
114.0,Kaštanjer,1,307800,1
145.0,Šijana,0,196500,0
51.59,Nova Veruda,0,290193,0
188.9,Monte Magno,0,298000,0
68.99,Monte Zaro,0,140000,0
50.73,Centar,3,178000,1
75.0,Veruda,5,155000,0
60.29,Veli vrh,2,156500,1
95.8,Šikići,2,192000,1
106.37,Centar,1,276000,0
55.07,Monte Magno,1,197000,0
55.0,Šijana,2,120000,0
58.96,Centar,4,213000,0
80.0,Valdebek,2,180000,0
64.0,Vidikovac,1,220000,0
15.68,Veli vrh,2,235000,1
58.41,Veli vrh,1,146000,1
54.98,Valdebek,1,142500,1
56.54,Veli vrh,2,141000,1
71.54,Centar,2,258000,0
66.0,Centar,3,175000,0
80.0,Centar,4,156000,0
110.13,Centar,2,380000,1
129.0,Centar,3,416000,0
105.0,Centar,1,358000,0
92.66,Šijana,2,217300,1
39.31,Centar,0,110000,0
107.99,Pragrande,2,269975,1
70.13,Centar,3,196400,1
59.43,Centar,1,208000,1
71.54,Centar,1,250390,0
92.0,Centar,2,200000,0
107.61,Centar,1,270000,1
59.43,Centar,3,208000,1
89.0,Šijana,2,159000,0
87.34,Centar,0,227000,0
60.0,Centar,1,199500,0
57.3,Centar,1,148900,1
140.0,Centar,1,450000,0
135.44,Centar,0,290000,0
71.23,Centar,2,221500,1
71.54,Centar,4,250500,1
61.88,Centar,1,166000,0
97.98,Centar,3,260000,0
105.0,Centar,2,255000,0
95.24,Veli vrh,2,209000,0
130.31,Centar,1,457000,1
89.28,Centar,1,223200,0
114.0,Kaštanjer,2,310000,1
50.49,Pragrande,1,132600,1
188.9,Monte Magno,0,298000,0
185.0,Centar,3,360000,0
103.0,Valdebek,2,267800,1
53.0,Centar,0,176000,1
85.04,Centar,2,218000,0
47.27,Šijana,1,121400,1
59.43,Centar,2,214000,0
130.31,Centar,4,456085,1
74.0,Štinjan,1,171500,1
60.3,Veli vrh,1,156500,1
97.0,Centar,3,270000,0
103.0,Centar,1,225000,0
112.0,Centar,2,260000,1
89.28,Centar,3,223000,1
59.43,Centar,4,208005,0
48.0,Centar,1,138000,0
79.77,Veruda,1,160000,0
49.51,Centar,1,187000,0
48.9,Valdebek,1,127000,1
100.0,Valdebek,2,260000,1
115.0,Centar,1,150000,0
105.22,Centar,1,327500,1
54.41,Valdebek,1,142500,1
93.46,Nova Veruda,1,225000,1
124.0,Centar,0,145000,0
108.6,Centar,2,372350,1
62.0,Veruda,1,165000,1
125.0,Monvidal,1,310000,1
81.0,Veruda,0,275000,0
56.0,Centar,1,290000,1
127.96,Veli vrh,2,241000,1
64.82,Centar,1,140000,0
57.79,Monte Zaro,1,206000,0
96.5,Centar,1,165000,0
80.0,Šijana,4,228000,0
58.96,Centar,2,206360,0
115.0,Veli vrh,2,236550,1
91.0,Veruda,4,281000,0
46.41,Šijana,1,121975,1
61.99,Centar,1,216965,0
49.0,Centar,3,129000,0
82.97,Šikići,1,183000,1
105.22,Centar,1,330000,1
59.0,Busoler,4,220000,1
89.0,Centar,2,280000,0
70.0,Stoja,1,258000,0
41.0,Centar,0,143000,0
70.58,Centar,2,225000,0
61.99,Centar,1,217000,1
64.0,Centar,1,137500,0
115.51,Valdebek,2,299000,1
59.0,Centar,0,130834,1
85.27,Centar,2,143000,0
74.0,Veruda,4,155500,0
60.29,Veli vrh,1,156500,1
105.22,Centar,1,324000,1
109.0,Centar,2,227000,0
48.53,Šijana,1,122425,1
59.27,Centar,3,150000,0
102.57,Veruda,1,296000,0
77.58,Centar,0,180000,0
110.75,Centar,2,233000,0
57.0,Centar,1,206000,0
73.0,Veruda,4,149000,0
108.0,Centar,2,275000,1
50.73,Centar,4,177555,0
92.66,Šijana,2,214760,1
505.0,Centar,2,350000,0
110.13,Centar,2,373000,1
78.0,Arsenal,0,175000,0
62.3,Valdebek,0,162000,1
71.99,Centar,1,180000,0
63.33,Centar,1,177500,1
146.0,Štinjan,2,380000,1
112.1,Valdebek,2,291000,1
77.18,Nova Veruda,2,170000,0
65.29,Šijana,2,145000,0
109.0,Centar,2,227000,0
69.41,Veli vrh,2,173000,1
62.0,Centar,3,174300,1
71.54,Centar,4,258000,0
124.0,Centar,2,289000,0
115.2,Valdebek,2,299000,1
103.7,Pragrande,1,259250,1
92.1,Centar,0,330000,0
70.13,Centar,3,224400,1
113.0,Centar,1,343153,1
112.0,Centar,1,189000,0
102.16,Nova Veruda,0,575000,0
138.8,Centar,4,347000,1
69.64,Stoja,1,250000,0
105.0,Centar,1,250000,0
69.0,Valdebek,1,173000,1
49.0,Centar,3,129000,0
89.28,Centar,1,223000,1
93.5,Stoja,0,210000,0
87.76,Centar,3,289000,0
80.0,Centar,3,230000,0
93.0,Centar,0,330000,0
66.0,Gregovica,0,165000,1
71.23,Centar,2,240000,1
59.43,Centar,2,208000,1
95.24,Veli vrh,2,215000,1
59.43,Centar,3,208000,1
65.29,Šijana,2,145000,0
54.18,Veruda,0,212000,1
59.7,Centar,4,208950,1
80.0,Šijana,0,189000,0
51.0,Centar,0,105000,0
63.0,Centar,2,201600,1
79.93,Centar,2,187000,0
60.0,Monte Magno,2,208000,0
101.0,Veruda,0,296000,0
44.0,Centar,2,176500,0
129.0,Centar,3,400000,0
97.45,Šijana,2,223500,0
71.4,Veli vrh,1,185000,1
73.9,Nova Veruda,2,415690,0
110.07,Vidikovac,0,415000,1
62.25,Centar,2,174300,1
58.0,Veruda,3,145000,1
55.0,Kaštanjer,1,137500,1
45.0,Centar,3,177000,0
85.0,Veruda,1,119500,0
110.25,Centar,1,343650,1
55.86,Vidikovac,2,189924,1
38.0,Štinjan,0,135000,0
54.89,Veli vrh,1,142500,1
110.25,Centar,1,343153,1
58.96,Centar,2,206400,1
48.0,Monte Zaro,3,129000,0
70.58,Centar,2,220000,0
59.05,Veli vrh,1,133000,1
61.73,Centar,1,185000,0
100.0,Sv. Polikarp / Sisplac,2,320000,1
55.86,Vidikovac,4,223440,1
74.73,Štinjan,0,199500,0
45.9,Valdebek,0,126800,1
138.0,Veruda,1,165000,0
72.0,Centar,3,145000,0
111.63,Veruda,0,296000,0
66.99,Centar,1,218700,1
41.35,Vidikovac,4,136455,1
54.83,Valdebek,1,142000,1
46.27,Šijana,1,118500,0
51.0,Veruda,3,103750,1
35.0,Centar,2,130000,0
142.0,Centar,0,250000,0
67.0,Centar,1,165000,0
55.0,Centar,0,135000,0
48.0,Centar,1,214500,1
81.49,Šijana,0,194000,0
